encoded_image,label
"[[[104 107 115]
  [102 105 113]
  [104  94 113]
  ...
  [182 192 198]
  [172 199 199]
  [167 194 194]]

 [[105 109 112]
  [104 108 111]
  [104 102 112]
  ...
  [182 192 198]
  [171 198 198]
  [167 194 194]]

 [[108 108 108]
  [108 108 108]
  [111 109 109]
  ...
  [185 197 195]
  [172 197 198]
  [165 190 191]]

 ...

 [[ 74  84  80]
  [ 74  84  80]
  [ 79  86  75]
  ...
  [  5   0   0]
  [  2   0   0]
  [  2   0   0]]

 [[ 78  86  77]
  [ 78  86  77]
  [ 78  87  75]
  ...
  [  5   0   0]
  [  5   0   0]
  [  5   0   0]]

 [[ 76  87  75]
  [ 76  87  75]
  [ 76  87  75]
  ...
  [  8   0   0]
  [  5   0   0]
  [  5   0   0]]]",label3
"[[[103 117  85]
  [103 117  85]
  [100 116  99]
  ...
  [204 184 191]
  [186 196 188]
  [189 200 192]]

 [[101 116  97]
  [101 116  97]
  [101 115 101]
  ...
  [192 190 189]
  [186 195 192]
  [185 194 191]]

 [[101 115 101]
  [101 115 101]
  [101 114 105]
  ...
  [191 191 189]
  [198 190 195]
  [197 189 194]]

 ...

 [[ 78  85  83]
  [ 78  85  83]
  [ 69  86  82]
  ...
  [ 53  27  18]
  [ 47  31  16]
  [ 47  31  16]]

 [[ 77  82  78]
  [ 76  81  77]
  [ 69  86  80]
  ...
  [ 48  23  11]
  [ 45  22  23]
  [ 43  20  21]]

 [[ 73  81  76]
  [ 73  81  76]
  [ 74  83  84]
  ...
  [ 45  25   7]
  [ 40  25  23]
  [ 38  22  21]]]",label3
"[[[108 113  97]
  [110 115 100]
  [105 113 105]
  ...
  [220 212 219]
  [171 185 180]
  [173 188 183]]

 [[108 113  97]
  [108 113  97]
  [101 114 107]
  ...
  [195 205 201]
  [180 195 188]
  [181 196 189]]

 [[101 115  99]
  [101 115  99]
  [101 114 107]
  ...
  [187 202 195]
  [179 200 186]
  [180 201 187]]

 ...

 [[ 75  87  81]
  [ 75  87  81]
  [ 78  85  81]
  ...
  [ 40  26  15]
  [ 35  30   9]
  [ 35  30   9]]

 [[ 79  84  83]
  [ 79  84  83]
  [ 78  85  81]
  ...
  [ 45  25  20]
  [ 51  22  16]
  [ 51  22  16]]

 [[ 78  85  83]
  [ 78  85  83]
  [ 78  86  79]
  ...
  [ 45  25  22]
  [ 45  25  20]
  [ 45  25  20]]]",label3
"[[[127 113 116]
  [122 108 111]
  [112 120 127]
  ...
  [191 200 187]
  [190 200 195]
  [191 202 196]]

 [[128 111 114]
  [124 108 111]
  [114 114 112]
  ...
  [191 202 196]
  [191 201 200]
  [190 200 199]]

 [[129 110 116]
  [125 105 112]
  [117 110 110]
  ...
  [191 202 194]
  [195 198 197]
  [194 196 196]]

 ...

 [[ 76  81  77]
  [ 76  81  77]
  [ 73  83  75]
  ...
  [ 46  32  19]
  [ 49  34  12]
  [ 48  33  11]]

 [[ 72  81  78]
  [ 73  82  79]
  [ 72  82  76]
  ...
  [ 45  31  18]
  [ 40  35  10]
  [ 38  33   7]]

 [[ 72  81  78]
  [ 73  82  79]
  [ 73  83  77]
  ...
  [ 45  32  14]
  [ 36  32  17]
  [ 35  31  16]]]",label3
"[[[116 121 105]
  [110 115 100]
  [110 115 109]
  ...
  [184 198 193]
  [190 192 194]
  [192 194 195]]

 [[108 113  95]
  [108 113  95]
  [109 114 108]
  ...
  [190 192 194]
  [194 190 198]
  [194 190 198]]

 [[102 113 102]
  [102 113 102]
  [105 113 105]
  ...
  [187 194 194]
  [192 192 201]
  [192 192 201]]

 ...

 [[ 76  84  72]
  [ 76  84  72]
  [ 74  82  79]
  ...
  [ 50  31  24]
  [ 48  30  25]
  [ 48  30  25]]

 [[ 78  80  77]
  [ 76  79  76]
  [ 74  82  79]
  ...
  [ 49  32  24]
  [ 50  31  24]
  [ 50  31  24]]

 [[ 73  81  74]
  [ 73  81  74]
  [ 75  78  86]
  ...
  [ 46  37  24]
  [ 46  36  30]
  [ 46  36  30]]]",label3
"[[[123 114 110]
  [120 112 108]
  [116 112 111]
  ...
  [202 193 189]
  [188 201 187]
  [185 199 185]]

 [[120 112 106]
  [120 112 106]
  [119 111 107]
  ...
  [186 196 188]
  [185 198 187]
  [183 196 185]]

 [[121 110 107]
  [121 110 107]
  [117 110 108]
  ...
  [186 194 189]
  [185 198 191]
  [183 195 189]]

 ...

 [[ 84  77  79]
  [ 85  78  80]
  [ 81  87  78]
  ...
  [ 48  32  19]
  [ 51  30  19]
  [ 51  30  19]]

 [[ 87  80  83]
  [ 87  80  83]
  [ 85  87  77]
  ...
  [ 50  29  18]
  [ 55  26  18]
  [ 52  24  15]]

 [[ 84  85  80]
  [ 84  85  80]
  [ 84  85  76]
  ...
  [ 50  28  22]
  [ 47  27  13]
  [ 46  26  12]]]",label3
"[[[108 119 106]
  [103 114 101]
  [118 108 112]
  ...
  [197 189 183]
  [190 200 195]
  [191 202 196]]

 [[110 120 114]
  [107 117 111]
  [106 111 109]
  ...
  [191 198 194]
  [190 200 197]
  [191 201 198]]

 [[109 115 106]
  [109 115 106]
  [111 116 114]
  ...
  [190 200 195]
  [191 198 194]
  [191 198 194]]

 ...

 [[ 81  84  81]
  [ 81  84  81]
  [ 78  86  79]
  ...
  [ 46  33  17]
  [ 46  34   9]
  [ 46  34   9]]

 [[ 78  85  83]
  [ 78  85  83]
  [ 76  86  81]
  ...
  [ 46  32  19]
  [ 55  31  12]
  [ 55  31  12]]

 [[ 77  87  84]
  [ 77  87  84]
  [ 77  87  82]
  ...
  [ 51  29  23]
  [ 55  31  12]
  [ 58  33  14]]]",label3
"[[[114 118 122]
  [113 117 120]
  [125 109 110]
  ...
  [221 193 195]
  [190 202 198]
  [183 195 191]]

 [[113 113 113]
  [113 113 113]
  [118 111 111]
  ...
  [200 194 194]
  [184 197 190]
  [183 195 189]]

 [[105 113 103]
  [107 115 106]
  [117 110 110]
  ...
  [188 193 189]
  [197 189 194]
  [198 190 195]]

 ...

 [[ 72  86  72]
  [ 71  85  71]
  [ 76  84  72]
  ...
  [ 48  36  24]
  [ 50  30  28]
  [ 49  29  27]]

 [[ 78  87  75]
  [ 78  87  75]
  [ 78  87  75]
  ...
  [ 48  36  24]
  [ 52  30  26]
  [ 52  30  26]]

 [[ 76  87  77]
  [ 76  87  77]
  [ 79  86  75]
  ...
  [ 46  39  14]
  [ 58  30  32]
  [ 58  30  32]]]",label3
"[[[118 119  98]
  [116 117  96]
  [111 116 112]
  ...
  [185 196 181]
  [177 198 193]
  [177 198 193]]

 [[116 113 105]
  [116 113 105]
  [110 115 111]
  ...
  [181 196 189]
  [181 198 190]
  [181 198 190]]

 [[111 110 103]
  [111 110 103]
  [107 115 108]
  ...
  [185 194 191]
  [189 194 190]
  [188 193 189]]

 ...

 [[ 79  86  84]
  [ 78  85  83]
  [ 81  83  83]
  ...
  [ 50  33  16]
  [ 54  30  22]
  [ 51  28  20]]

 [[ 90  81  84]
  [ 89  79  83]
  [ 79  85  81]
  ...
  [ 47  35  12]
  [ 44  36  18]
  [ 43  34  17]]

 [[ 90  80  88]
  [ 90  80  88]
  [ 77  88  78]
  ...
  [ 46  37   4]
  [ 44  36  16]
  [ 44  36  16]]]",label3
"[[[ 90 118 115]
  [ 89 117 114]
  [100 112 120]
  ...
  [231 236 232]
  [207 224 204]
  [196 213 194]]

 [[ 89 120 111]
  [ 89 120 111]
  [102 117 112]
  ...
  [199 205 201]
  [191 203 190]
  [191 203 190]]

 [[ 98 116 105]
  [ 98 116 105]
  [102 117 110]
  ...
  [189 194 188]
  [189 194 188]
  [188 193 187]]

 ...

 [[ 71  78  78]
  [ 70  77  77]
  [ 70  77  74]
  ...
  [ 53  34  22]
  [ 53  33  28]
  [ 54  34  29]]

 [[ 78  78  78]
  [ 78  78  78]
  [ 73  82  79]
  ...
  [ 56  33  20]
  [ 56  32  26]
  [ 57  33  27]]

 [[ 75  80  76]
  [ 75  80  76]
  [ 71  80  97]
  ...
  [ 58  32  20]
  [ 56  33  20]
  [ 56  33  20]]]",label3
